"Timestamp","Average Grade","Birth Year","Nationality","Gender","Favorite Pastime","Favorite Music Genre","Favorite Sport","Favorite Flavor Type","Personality","Typical Sleeping Hour","Do you smoke?","Favorite Color","Favorite Digit","Horoscope","Aptitude to work in groups","Do you Procrastinate a lot?","Are you organized?","Do you have Siblings? How many?","Monthly Spending","Course After Diploma","Enjoyment of Studying in Singapore","Enjoyment of Studying in PSB Academy","Favorite DICT Module","Hardest DICT Module"
"2019/08/29 10:41:46 PM GMT+8","9","2002","Indonesian","Male","Games","Pop","Basketball","Sweet","2","6-7","No","Black","5","Gemini","7","Yes","Yes","1","600","PSB Coventry University","9","9","DM","ISEG"
"2019/08/30 12:17:45 AM GMT+8","5","1996","Malaysian","Male","Listen to Music","Rock","Cricket","Sweet","5","4-5","No","Black","9","Capricorn","6","No","Yes","2","1500$","Other institution Overseas","6","7","Iseg","Ip"
"2019/08/30 12:25:03 AM GMT+8","10","1995","Bangladesh ","Male","Physical Sports","EDM","Cricket","Salty","1",">8","Yes","Blue","8","Capricorn","1","Yes","Yes","1","100$","No Further Studies","1","10","DM","IP"
"2019/08/30 2:43:05 AM GMT+8","6","1999","Malaysian","Male","Listen to Music","Rap","Basketball","Salty","4","6-7","Yes","Red","2","Pisces","7","Yes","Yes","1","600","PSB Coventry University","6","5","ac","Iseg"
"2019/08/30 8:56:49 AM GMT+8","3","1998","Korean","Male","Hanging out with friends outside","Pop","Football","Sweet","4",">8","No","Purple","7","Aquarius","9","No","Yes","0","100000₩","No Further Studies","9","9","",""
"2019/08/30 9:43:15 AM GMT+8","3","1998","Korean","Male","Shopping","Jazz","Tennis","Sweet","2","6-7","No","Green","5","Sagittarius","4","No","Yes","1","3080,000","No Further Studies","1","1","",""
"2019/08/30 12:05:35 PM GMT+8","9","<1995","Korean","Female","Physical Sports","Jazz","Football","Sour","2","4-5","No","Orange","4","Cancer","3","No","Yes","3","1500","PSB Coventry University","9","9","",""
"2019/08/30 12:30:50 PM GMT+8","8","<1995","Korean","Male","Physical Sports","Pop","Football","Sweet","3","6-7","No","Blue","3","Aries","5","No","Yes","3","SGD $250","PSB Coventry University","3","3","",""
"2019/08/30 9:52:18 PM GMT+8","6","2000","Burmese","Male","Games","Jazz","Basketball","Sour","3","6-7","Yes","White","6","Aries","8","Yes","Yes","4","S$400","PSB Edith Cowan University","2","3","",""
"2019/09/03 4:00:11 PM GMT+8","6","1997","Malaysian","Male","Listen to Music","EDM","Football","Sweet","4","6-7","No","Black","5","Cancer","10","No","Yes","2","500","PSB Edith Cowan University","8","8","IP","IP"
"2019/09/03 4:02:50 PM GMT+8","6","1999","Singaporean","Female","Listen to Music","Jazz","Basketball","Sweet","4","6-7","No","White","7","Cancer","7","No","Yes","3","880","PSB Edith Cowan University","7","7","IP","IP"
"2019/09/03 4:02:51 PM GMT+8","7","1999","Singaporean","Male","Games","Rock","Basketball","Savoury","4","6-7","No","Yellow","8","Libra","9","No","Yes","4","600","PSB Edith Cowan University","6","7","ISEG","AC"
"2019/09/03 4:05:12 PM GMT+8","4","1997","Indonesian","Male","Games","EDM","Basketball","Sweet","2","4-5","Yes","Green","7","Aries","3","No","No","0","400","No Further Studies","1","1","AC","IP"
"2019/09/03 4:06:39 PM GMT+8","7","1999","Singaporean","Male","Listen to Music","Pop","Tennis","Sour","5",">8","Yes","Orange","8","Sagittarius","9","No","Yes","2","600","PSB University of Newcastle","8","9","AC","ISOG"
"2019/09/03 4:07:13 PM GMT+8","3","2001","Korean","Male","Games","Jazz","Cricket","Sour","2","4-5","No","Yellow","6","Aquarius","4","Yes","No","2","450","Other Institution in Singapore","4","3","DCNG","ICOS"
"2019/09/03 4:15:55 PM GMT+8","8",">2002","Singaporean","Male","Listen to Music","Pop","Basketball","Salty","5",">8","No","Green","9","Sagittarius","10","No","Yes","1","700","PSB University of Newcastle","10","8","AC","ISOG"
"2019/09/03 4:17:14 PM GMT+8","9","1999","Indonesian","Male","Games","Pop","Volleyball","Sweet","4","6-7","No","Blue","3","Cancer","7","No","Yes","3","500","PSB Edith Cowan University","8","8","ISOG","ICOS"
"2019/09/03 4:18:21 PM GMT+8","9","1999","Singaporean","Male","Listen to Music","Jazz","Football","Sour","4","6-7","No","Green","8","Capricorn","9","No","Yes","2","550","PSB University of Newcastle","7","8","AC","ICOS"
"2019/09/03 4:18:40 PM GMT+8","9","1998","Korean","Male","Games","Rap","Basketball","Sweet","4","6-7","No","Blue","6","Virgo","8","No","Yes","2","700","PSB University of Newcastle","7","8","DM","IP"
"2019/09/03 4:20:01 PM GMT+8","6","2000","Malaysian","Female","Shopping","EDM","Hockey","Bitter","3","6-7","No","Orange","5","Gemini","8","No","Yes","2","700","PSB University of Newcastle","7","8","AC","DCNG"
"2019/09/03 4:20:19 PM GMT+8","3","1999","Burmese","Female","Shopping","Rap","Basketball","Sour","2","4-5","No","Purple","4","Sagittarius","3","Yes","No","4","800","No Further Studies","4","4","DM","AC"
"2019/09/03 4:22:02 PM GMT+8","7","2000","Singaporean","Female","Games","Rock","Volleyball","Sour","5","6-7","No","Yellow","7","Virgo","8","No","Yes","3","500","PSB University of Newcastle","7","8","DCNG","ICOS"
"2019/09/03 4:22:43 PM GMT+8","8","2000","Korean","Female","Listen to Music","Rap","Cricket","Bitter","4","6-7","Prefer not to say","Purple","9","Leo","7","No","Yes","2","650","PSB Edith Cowan University","7","9","AC","ICOS"
"2019/09/03 4:24:29 PM GMT+8","10","1999","Singaporean","Male","Listen to Music","Rap","Cricket","Sweet","4","6-7","No","Orange","6","Leo","8","No","Yes","2","400","PSB University of Newcastle","7","9","ISEG","DM"
"2019/09/03 4:25:23 PM GMT+8","6","1999","Singaporean","Male","Hanging out with friends outside","EDM","Cricket","Salty","5","6-7","No","Blue","2","Capricorn","9","No","Yes","3","700","PSB Edith Cowan University","7","9","AC","ICOS"
"2019/09/03 4:37:00 PM GMT+8","7","2000","Indonesian","Female","Shopping","Jazz","Cricket","Salty","4","6-7","No","Blue","4","Scorpio","7","No","Yes","1","100","PSB University of Newcastle","6","7","ISEG","AC"
"2019/09/03 4:37:29 PM GMT+8","7","2001","Indonesian","Male","Games","Rap","Tennis","Sweet","3","6-7","No","Black","1","Scorpio","7","No","Yes","3","300","PSB Coventry University","9","8","DM","ICOS"
"2019/09/03 4:40:00 PM GMT+8","3","1997","Korean","Male","Shopping","Jazz","Volleyball","Salty","3","4-5","No","Green","4","Capricorn","5","Yes","Yes","2","500","Other institution Overseas","5","6","ISEG","AC"
"2019/09/03 4:42:57 PM GMT+8","6","2001","Korean","Female","Hanging out with friends outside","Rap","Basketball","Sweet","4","6-7","No","Orange","8","Capricorn","7","Yes","Yes","3","400","PSB University of Newcastle","7","8","DM","AC"
"2019/09/03 4:43:49 PM GMT+8","7","1998","Korean","Female","Listen to Music","EDM","Tennis","Sour","3",">8","Yes","Blue","2","Gemini","8","No","Yes","2","600","PSB Coventry University","8","6","ICOS","ARW"
"2019/09/03 4:47:30 PM GMT+8","6","1998","Singaporean","Male","Physical Sports","Jazz","Basketball","Sour","3",">8","No","Orange","7","Leo","7","No","Yes","0","1000","PSB Edith Cowan University","9","7","DCNG","DCNG"
"2019/09/03 4:50:38 PM GMT+8","8","2002","Singaporean","Male","Games","Pop","Basketball","Salty","3","6-7","No","Green","4","Virgo","8","No","Yes","7","500","PSB University of Newcastle","7","8","ELEC","ICOS"
"2019/09/03 4:50:42 PM GMT+8","7",">2002","Singaporean","Male","Shopping","Rap","Cricket","Salty","5","6-7","Prefer not to say","Red","2","Scorpio","10","No","Yes","10","9999","PSB University of Newcastle","10","10","AC","IP"
"2019/09/03 4:51:04 PM GMT+8","7","1999","Singaporean","Male","Physical Sports","Pop","Football","Bitter","4","6-7","No","White","4","Cancer","7","Yes","No","4","500","Other institution Overseas","6","4","DM","AC"
"2019/09/03 4:52:02 PM GMT+8","8","2001","Singaporean","Male","Shopping","Jazz","Tennis","Savoury","5","6-7","Yes","Purple","9","Capricorn","6","Yes","No","1","540USD","PSB University of Newcastle","5","8","AC","ISEG"
"2019/09/03 4:53:09 PM GMT+8","8",">2002","Malaysian","Male","Shopping","Rock","Football","Sweet","4","6-7","Prefer not to say","White","8","Aries","9","No","Yes","2","500","PSB Edith Cowan University","7","8","ARW2","AC"
"2019/09/03 4:53:44 PM GMT+8","6","1998","Singaporean","Male","Listen to Music","Jazz","Football","Sour","4",">8","Yes","Blue","0","Pisces","7","Yes","Yes","2","9877","PSB Coventry University","10","8","ISEG","IP"
"2019/09/03 4:54:51 PM GMT+8","7","2000","Indian","Male","Games","EDM","Football","Salty","3","6-7","No","Orange","8","Leo","9","No","Yes","2","1000 ringgit ","PSB University of Newcastle","7","8","ICOS","AC"
"2019/09/03 4:55:36 PM GMT+8","7","1998","Singaporean","Male","Shopping","Pop","Cricket","Bitter","4","6-7","No","Purple","9","Aries","7","No","Yes","3","550","PSB University of Newcastle","6","7","ISEG","ISOG"
"2019/09/03 4:56:36 PM GMT+8","7","1997","Singaporean","Male","Games","Rock","Football","Savoury","4","6-7","No","White","6","Cancer","8","Yes","Yes","2","4748","PSB Edith Cowan University","8","8","ISEG","IP"
"2019/09/03 4:57:22 PM GMT+8","6","2001","Korean","Female","Listen to Music","Pop","Basketball","Sweet","4","6-7","Yes","Orange","8","Virgo","10","Yes","Yes","1","$900","PSB Coventry University","6","7","ISOG","ICOS"
"2019/09/03 4:57:32 PM GMT+8","7","2001","Singaporean","Male","Listen to Music","Pop","Volleyball","Bitter","4","6-7","No","Green","8","Virgo","8","No","Yes","7","650","PSB Edith Cowan University","8","6","AC","ICOS"
"2019/09/03 4:59:37 PM GMT+8","7","<1995","Singaporean","Male","Hanging out with friends outside","EDM","Football","Bitter","3",">8","No","Blue","3","Aries","7","Yes","Yes","4","2500","PSB Coventry University","7","8","DCNG","IP"
"2019/09/03 5:00:54 PM GMT+8","6","1997","Saudi Arab","Male","Listen to Music","EDM","Basketball","Sour","4","4-5","Prefer not to say","Blue","5","Leo","5","Yes","Yes","1","2000","PSB University of Newcastle","9","10","Everything! ","ARWR XD"
"2019/09/03 5:01:43 PM GMT+8","6","1998","Singaporean","Male","Shopping","Rock","Tennis","Sour","4",">8","Yes","White","5","Cancer","9","Yes","Yes","4","5600","PSB Coventry University","9","7","IP","ICOS"
"2019/09/03 5:01:53 PM GMT+8","7","2002","Singaporean","Female","Shopping","Pop","Basketball","Sour","4",">8","No","Black","8","Taurus","8","No","Yes","7","600","PSB University of Newcastle","7","8","AC","ICOS"
"2019/09/03 5:02:48 PM GMT+8","8","<1995","Singaporean","Male","Listen to Music","Pop","Basketball","Sweet","3","6-7","Prefer not to say","Blue","4","Virgo","9","Yes","Yes","5","5660","PSB University of Newcastle","7","9","AC","IP"
"2019/09/03 5:02:50 PM GMT+8","5","2002","Singaporean","Male","Games","Jazz","Tennis","Salty","4","6-7","Yes","Red","2","Taurus","8","No","Yes","2","700","PSB University of Newcastle","8","7","AC","ICOG"
"2019/09/03 5:03:38 PM GMT+8","4","1999","Singaporean","Female","Shopping","Pop","Basketball","Sour","4",">8","No","Orange","3","Libra","6","No","No","4","1500sing dollar","PSB University of Newcastle","6","9","ARWR","AC"
"2019/09/03 5:04:20 PM GMT+8","6",">2002","Singaporean","Male","Physical Sports","EDM","Tennis","Sour","4",">8","Prefer not to say","Purple","9","Taurus","9","No","Yes","7","600","PSB Coventry University","6","5","AC","ICOS"
"2019/09/03 5:04:55 PM GMT+8","7","2001","Singaporean","Male","Shopping","EDM","Football","Salty","3","6-7","Yes","White","7","Gemini","7","Yes","Yes","1","800","PSB University of Newcastle","8","4","ISEG","IP"
"2019/09/03 5:05:29 PM GMT+8","6","1999","Singaporean","Male","Shopping","EDM","Football","Bitter","5","6-7","Prefer not to say","Yellow","9","Leo","8","No","Yes","1","200","PSB University of Newcastle","9","6","ISOG","ICOS"
"2019/09/03 5:06:01 PM GMT+8","7","1998","Singaporean","Male","Physical Sports","Rock","Basketball","Sweet","4","6-7","No","Black","7","Cancer","8","Yes","Yes","4","2080","PSB University of Newcastle","7","8","IP","AC"
"2019/09/03 5:06:03 PM GMT+8","4","1999","Korean","Female","Listen to Music","EDM","Tennis","Sour","1","2-3","Yes","Red","3","Aquarius","2","Yes","No","0","500","No Further Studies","1","1","",""
"2019/09/03 5:06:17 PM GMT+8","4","1996","Indonesian","Male","Listen to Music","Pop","Tennis","Bitter","2","4-5","No","Green","2","Cancer","4","No","No","2","600","Other institution Overseas","4","5","AC","DM"
"2019/09/03 5:07:09 PM GMT+8","9","2000","Malaysian","Female","Listen to Music","Rock","Volleyball","Sweet","2","2-3","Prefer not to say","White","5","Scorpio","2","Yes","No","0","700","Other Institution in Singapore","3","4","",""
"2019/09/03 5:07:47 PM GMT+8","8","2001","Indonesian","Female","Hanging out with friends outside","Rap","Volleyball","Sweet","3",">8","No","Green","7","Cancer","7","No","Yes","2","600","PSB University of Newcastle","7","5","ICOS","IP"
"2019/09/03 5:08:58 PM GMT+8","7","2000","Singaporean","Male","Games","EDM","Tennis","Salty","4","6-7","No","Green","3","Virgo","6","No","Yes","1","600","PSB Edith Cowan University","7","6","ISEG","IP"
"2019/09/03 5:09:23 PM GMT+8","6","1998","Singaporean","Male","Hanging out with friends outside","EDM","Basketball","Sweet","4",">8","Yes","Blue","7","Libra","9","Yes","Yes","6","4600","PSB University of Newcastle","8","8","ISEG","ISEG"
"2019/09/03 5:09:59 PM GMT+8","6","1997","Singaporean","Male","Listen to Music","EDM","Basketball","Salty","3","6-7","No","White","6","Libra","8","No","Yes","1","200","PSB University of Newcastle","7","6","DCNG","ARW"
"2019/09/03 5:17:12 PM GMT+8","6","1998","Singaporean","Male","Games","Jazz","Volleyball","Salty","3","6-7","Prefer not to say","Orange","4","Cancer","7","Yes","Yes","2","5000","PSB Coventry University","6","6","DCNG","IP"
