"Timestamp","Average Grade","Birth Year","Nationality","Gender","Favorite Pastime","Favorite Music Genre","Favorite Sport","Favorite Flavor Type","Personality","Typical Sleeping Hour","Do you smoke?","Favorite Color","Favorite Digit","Horoscope","Aptitude to work in groups","Do you Procrastinate a lot?","Are you organized?","Do you have Siblings? How many?","Monthly Spending","Course After Diploma","Enjoyment of Studying in Singapore","Enjoyment of Studying in PSB Academy","Favorite DICT Module","Hardest DICT Module"
"2019/08/29 4:51:10 PM GMT+8","6","2000","Korean","Male","Games","Pop","Football","Savoury","2",">8","No","White","2","Sagittarius","10","Yes","Yes","1","100$?","PSB Coventry University","7","8","AC","IP"
"2019/08/29 4:51:14 PM GMT+8","5","1998","Singaporean","Male","Games","Jazz","Basketball","Salty","1","4-5","No","Black","10","Scorpio","10","Yes","No","1","1000","I will become an entrepreneur ","10","1","ISOG","IP"
"2019/08/29 4:51:19 PM GMT+8","9","1999","Indonesian","Male","Games","Rock","Football","Sweet","2","6-7","No","Black","3","Aries","6","Yes","Yes","1","1600","PSB Coventry University","5","7","IP","ISEG"
"2019/08/29 4:51:28 PM GMT+8","5","1997","Malaysian","Prefer not to say","Shopping","EDM","Tennis","Savoury","2",">8","No","Yellow","5","Gemini","5","No","No","2","500","PSB Edith Cowan University","4","8","AC","ISEG"
"2019/08/29 4:51:29 PM GMT+8","10",">2002","Indonesian","Prefer not to say","Games","Rap","Basketball","Salty","5","<1","Yes","Green","6","Aries","1","Yes","No","10","999999999","No Further Studies","1","1","Cheating","Fail Module"
"2019/08/29 4:52:11 PM GMT+8","8","1997","Indonesian","Male","Shopping","Pop","Football","Sweet","4","6-7","Yes","Green","10","Capricorn","7","Yes","No","2","1000","PSB Coventry University","7","3","ISEG","IP"
"2019/08/29 4:53:32 PM GMT+8","7","2000","Korean","Male","Games","EDM","Cricket","Bitter","3","2-3","Yes","Purple","5","Scorpio","10","No","Yes","5","60","PSB Coventry University","7","7","ICOS","DM"
"2019/08/29 4:53:35 PM GMT+8","7","1996","Singaporean","Male","Hanging out with friends outside","Pop","Basketball","Sweet","3",">8","Yes","Red","5","Scorpio","9","Yes","Yes","0","300","PSB Coventry University","5","7","DM","DDMG"
"2019/08/29 4:54:14 PM GMT+8","5","1999","Malaysian","Male","Hanging out with friends outside","EDM","Football","Salty","4","4-5","No","Black","7","Leo","6","Yes","No","1","RM 500","No Further Studies","1","1","DCNG","ISEG"
"2019/08/29 4:54:21 PM GMT+8","5","2000","Malaysian","Male","Hanging out with friends outside","EDM","Volleyball","Savoury","4","4-5","No","Blue","6","Leo","8","No","Yes","3","1000","PSB University of Newcastle","7","5","ISOG","IP"
